,elevation,flight,iteration,band,accuracy
98,150.0,noon,3.0,RGB-LWIR_IP,0.593
99,200.0,noon,3.0,RGB-LWIR_IP,0.944
100,250.0,noon,3.0,RGB-LWIR_IP,0.586
101,300.0,noon,3.0,RGB-LWIR_IP,0.562
102,350.0,noon,3.0,RGB-LWIR_IP,0.356
103,400.0,noon,3.0,RGB-LWIR_IP,0.193
104,50.0,pre-sunset,3.0,RGB-LWIR_IP,0.738
105,100.0,pre-sunset,3.0,RGB-LWIR_IP,0.868
106,150.0,pre-sunset,3.0,RGB-LWIR_IP,0.898
107,200.0,pre-sunset,3.0,RGB-LWIR_IP,0.708
108,250.0,pre-sunset,3.0,RGB-LWIR_IP,0.732
109,300.0,pre-sunset,3.0,RGB-LWIR_IP,0.605
110,350.0,pre-sunset,3.0,RGB-LWIR_IP,0.439
111,400.0,pre-sunset,3.0,RGB-LWIR_IP,0.339
112,50.0,post-sunset,3.0,RGB-LWIR_IP,1.0
113,100.0,post-sunset,3.0,RGB-LWIR_IP,0.999
114,150.0,post-sunset,3.0,RGB-LWIR_IP,0.616
115,200.0,post-sunset,3.0,RGB-LWIR_IP,0.291
116,250.0,post-sunset,3.0,RGB-LWIR_IP,0.875
117,300.0,post-sunset,3.0,RGB-LWIR_IP,0.239
118,350.0,post-sunset,3.0,RGB-LWIR_IP,0.109
119,400.0,post-sunset,3.0,RGB-LWIR_IP,0.183
120,50.0,pre-sunrise,4.0,RGB-LWIR_IP,0.998
121,100.0,pre-sunrise,4.0,RGB-LWIR_IP,0.605
122,150.0,pre-sunrise,4.0,RGB-LWIR_IP,0.13
123,200.0,pre-sunrise,4.0,RGB-LWIR_IP,0.0
124,250.0,pre-sunrise,4.0,RGB-LWIR_IP,0.0
125,300.0,pre-sunrise,4.0,RGB-LWIR_IP,0.19
126,350.0,pre-sunrise,4.0,RGB-LWIR_IP,0.0
127,400.0,pre-sunrise,4.0,RGB-LWIR_IP,0.0
128,50.0,post-sunrise,4.0,RGB-LWIR_IP,1.0
129,100.0,post-sunrise,4.0,RGB-LWIR_IP,1.0
130,150.0,post-sunrise,4.0,RGB-LWIR_IP,0.755
131,200.0,post-sunrise,4.0,RGB-LWIR_IP,0.831
132,250.0,post-sunrise,4.0,RGB-LWIR_IP,0.755
133,300.0,post-sunrise,4.0,RGB-LWIR_IP,0.862
134,350.0,post-sunrise,4.0,RGB-LWIR_IP,0.205
135,400.0,post-sunrise,4.0,RGB-LWIR_IP,0.277
136,50.0,noon,4.0,RGB-LWIR_IP,0.605
137,100.0,noon,4.0,RGB-LWIR_IP,0.914
138,150.0,noon,4.0,RGB-LWIR_IP,0.851
139,200.0,noon,4.0,RGB-LWIR_IP,0.913
140,250.0,noon,4.0,RGB-LWIR_IP,0.477
141,300.0,noon,4.0,RGB-LWIR_IP,0.598
142,350.0,noon,4.0,RGB-LWIR_IP,0.0529
143,400.0,noon,4.0,RGB-LWIR_IP,0.37
144,50.0,pre-sunset,4.0,RGB-LWIR_IP,1.0
145,100.0,pre-sunset,4.0,RGB-LWIR_IP,0.672
146,150.0,pre-sunset,4.0,RGB-LWIR_IP,0.806
147,200.0,pre-sunset,4.0,RGB-LWIR_IP,0.856
148,250.0,pre-sunset,4.0,RGB-LWIR_IP,0.755
149,300.0,pre-sunset,4.0,RGB-LWIR_IP,0.443
150,350.0,pre-sunset,4.0,RGB-LWIR_IP,0.393
151,400.0,pre-sunset,4.0,RGB-LWIR_IP,0.377
152,50.0,post-sunset,4.0,RGB-LWIR_IP,0.964
153,100.0,post-sunset,4.0,RGB-LWIR_IP,0.838
154,150.0,post-sunset,4.0,RGB-LWIR_IP,0.701
155,200.0,post-sunset,4.0,RGB-LWIR_IP,0.474
156,250.0,post-sunset,4.0,RGB-LWIR_IP,0.705
157,300.0,post-sunset,4.0,RGB-LWIR_IP,0.152
158,350.0,post-sunset,4.0,RGB-LWIR_IP,0.109
159,400.0,post-sunset,4.0,RGB-LWIR_IP,0.169
160,50.0,pre-sunrise,5.0,RGB-LWIR_IP,1.0
161,100.0,pre-sunrise,5.0,RGB-LWIR_IP,1.0
162,150.0,pre-sunrise,5.0,RGB-LWIR_IP,0.505
163,200.0,pre-sunrise,5.0,RGB-LWIR_IP,0.0
164,250.0,pre-sunrise,5.0,RGB-LWIR_IP,0.0
165,300.0,pre-sunrise,5.0,RGB-LWIR_IP,0.163
166,350.0,pre-sunrise,5.0,RGB-LWIR_IP,0.063
167,400.0,pre-sunrise,5.0,RGB-LWIR_IP,0.0
168,50.0,post-sunrise,5.0,RGB-LWIR_IP,0.695
169,100.0,post-sunrise,5.0,RGB-LWIR_IP,1.0
170,150.0,post-sunrise,5.0,RGB-LWIR_IP,1.0
171,200.0,post-sunrise,5.0,RGB-LWIR_IP,0.988
172,250.0,post-sunrise,5.0,RGB-LWIR_IP,0.626
173,300.0,post-sunrise,5.0,RGB-LWIR_IP,0.13
174,350.0,post-sunrise,5.0,RGB-LWIR_IP,0.205
175,400.0,post-sunrise,5.0,RGB-LWIR_IP,0.157
176,50.0,noon,5.0,RGB-LWIR_IP,0.671
177,100.0,noon,5.0,RGB-LWIR_IP,1.0
178,150.0,noon,5.0,RGB-LWIR_IP,1.0
179,200.0,noon,5.0,RGB-LWIR_IP,0.792
180,250.0,noon,5.0,RGB-LWIR_IP,0.477
181,300.0,noon,5.0,RGB-LWIR_IP,0.585
182,350.0,noon,5.0,RGB-LWIR_IP,0.657
183,400.0,noon,5.0,RGB-LWIR_IP,0.331
184,50.0,pre-sunset,5.0,RGB-LWIR_IP,0.672
185,100.0,pre-sunset,5.0,RGB-LWIR_IP,0.949
186,150.0,pre-sunset,5.0,RGB-LWIR_IP,0.775
187,200.0,pre-sunset,5.0,RGB-LWIR_IP,0.772
188,250.0,pre-sunset,5.0,RGB-LWIR_IP,0.577
189,300.0,pre-sunset,5.0,RGB-LWIR_IP,0.633
190,350.0,pre-sunset,5.0,RGB-LWIR_IP,0.538
191,400.0,pre-sunset,5.0,RGB-LWIR_IP,0.4
192,50.0,post-sunset,5.0,RGB-LWIR_IP,0.838
193,100.0,post-sunset,5.0,RGB-LWIR_IP,1.0
194,150.0,post-sunset,5.0,RGB-LWIR_IP,0.672
195,200.0,post-sunset,5.0,RGB-LWIR_IP,0.627
196,250.0,post-sunset,5.0,RGB-LWIR_IP,0.599
197,300.0,post-sunset,5.0,RGB-LWIR_IP,0.152
198,350.0,post-sunset,5.0,RGB-LWIR_IP,0.55
199,400.0,post-sunset,5.0,RGB-LWIR_IP,0.169
200,,,,RGB-LWIR_IP,
201,50.0,pre-sunrise,1.0,RGB_IP,0.0
202,100.0,pre-sunrise,1.0,RGB_IP,0.672
203,150.0,pre-sunrise,1.0,RGB_IP,0.505
204,200.0,pre-sunrise,1.0,RGB_IP,0.36
205,250.0,pre-sunrise,1.0,RGB_IP,0.0
206,300.0,pre-sunrise,1.0,RGB_IP,0.803
207,350.0,pre-sunrise,1.0,RGB_IP,0.172
208,400.0,pre-sunrise,1.0,RGB_IP,0.081
209,50.0,post-sunrise,1.0,RGB_IP,1.0
210,100.0,post-sunrise,1.0,RGB_IP,0.805
211,150.0,post-sunrise,1.0,RGB_IP,1.0
212,200.0,post-sunrise,1.0,RGB_IP,0.865
213,250.0,post-sunrise,1.0,RGB_IP,0.0
214,300.0,post-sunrise,1.0,RGB_IP,0.751
215,350.0,post-sunrise,1.0,RGB_IP,0.392
216,400.0,post-sunrise,1.0,RGB_IP,0.682
217,50.0,noon,1.0,RGB_IP,0.732
218,100.0,noon,1.0,RGB_IP,0.738
219,150.0,noon,1.0,RGB_IP,0.987
220,200.0,noon,1.0,RGB_IP,0.938
221,250.0,noon,1.0,RGB_IP,0.748
222,300.0,noon,1.0,RGB_IP,0.862
223,350.0,noon,1.0,RGB_IP,0.747
224,400.0,noon,1.0,RGB_IP,0.535
225,50.0,pre-sunset,1.0,RGB_IP,0.672
226,100.0,pre-sunset,1.0,RGB_IP,0.794
227,150.0,pre-sunset,1.0,RGB_IP,0.938
228,200.0,pre-sunset,1.0,RGB_IP,0.726
229,250.0,pre-sunset,1.0,RGB_IP,0.638
230,300.0,pre-sunset,1.0,RGB_IP,0.743
231,350.0,pre-sunset,1.0,RGB_IP,0.669
232,400.0,pre-sunset,1.0,RGB_IP,0.545
233,50.0,post-sunset,1.0,RGB_IP,0.505
234,100.0,post-sunset,1.0,RGB_IP,0.755
235,150.0,post-sunset,1.0,RGB_IP,0.56
236,200.0,post-sunset,1.0,RGB_IP,0.148
237,250.0,post-sunset,1.0,RGB_IP,0.255
238,300.0,post-sunset,1.0,RGB_IP,0.166
239,350.0,post-sunset,1.0,RGB_IP,0.106
240,400.0,post-sunset,1.0,RGB_IP,0.151
241,50.0,pre-sunrise,2.0,RGB_IP,0.0
242,100.0,pre-sunrise,2.0,RGB_IP,0.755
243,150.0,pre-sunrise,2.0,RGB_IP,0.505
244,200.0,pre-sunrise,2.0,RGB_IP,0.434
