,elevation,flight,iteration,band,accuracy,image_processing
108,250,pre-sunset,3,RGB-LWIR,0.732,Yes
109,300,pre-sunset,3,RGB-LWIR,0.605,Yes
110,350,pre-sunset,3,RGB-LWIR,0.439,Yes
111,400,pre-sunset,3,RGB-LWIR,0.339,Yes
112,50,post-sunset,3,RGB-LWIR,1.0,Yes
113,100,post-sunset,3,RGB-LWIR,0.999,Yes
114,150,post-sunset,3,RGB-LWIR,0.616,Yes
115,200,post-sunset,3,RGB-LWIR,0.291,Yes
116,250,post-sunset,3,RGB-LWIR,0.875,Yes
117,300,post-sunset,3,RGB-LWIR,0.239,Yes
118,350,post-sunset,3,RGB-LWIR,0.109,Yes
119,400,post-sunset,3,RGB-LWIR,0.183,Yes
120,50,pre-sunrise,4,RGB-LWIR,0.998,Yes
121,100,pre-sunrise,4,RGB-LWIR,0.605,Yes
122,150,pre-sunrise,4,RGB-LWIR,0.13,Yes
123,200,pre-sunrise,4,RGB-LWIR,0.0,Yes
124,250,pre-sunrise,4,RGB-LWIR,0.0,Yes
125,300,pre-sunrise,4,RGB-LWIR,0.19,Yes
126,350,pre-sunrise,4,RGB-LWIR,0.0,Yes
127,400,pre-sunrise,4,RGB-LWIR,0.0,Yes
128,50,post-sunrise,4,RGB-LWIR,1.0,Yes
129,100,post-sunrise,4,RGB-LWIR,1.0,Yes
130,150,post-sunrise,4,RGB-LWIR,0.755,Yes
131,200,post-sunrise,4,RGB-LWIR,0.831,Yes
132,250,post-sunrise,4,RGB-LWIR,0.755,Yes
133,300,post-sunrise,4,RGB-LWIR,0.862,Yes
134,350,post-sunrise,4,RGB-LWIR,0.205,Yes
135,400,post-sunrise,4,RGB-LWIR,0.277,Yes
136,50,noon,4,RGB-LWIR,0.605,Yes
137,100,noon,4,RGB-LWIR,0.914,Yes
138,150,noon,4,RGB-LWIR,0.851,Yes
139,200,noon,4,RGB-LWIR,0.913,Yes
140,250,noon,4,RGB-LWIR,0.477,Yes
141,300,noon,4,RGB-LWIR,0.598,Yes
142,350,noon,4,RGB-LWIR,0.0529,Yes
143,400,noon,4,RGB-LWIR,0.37,Yes
144,50,pre-sunset,4,RGB-LWIR,1.0,Yes
145,100,pre-sunset,4,RGB-LWIR,0.672,Yes
146,150,pre-sunset,4,RGB-LWIR,0.806,Yes
147,200,pre-sunset,4,RGB-LWIR,0.856,Yes
148,250,pre-sunset,4,RGB-LWIR,0.755,Yes
149,300,pre-sunset,4,RGB-LWIR,0.443,Yes
150,350,pre-sunset,4,RGB-LWIR,0.393,Yes
151,400,pre-sunset,4,RGB-LWIR,0.377,Yes
152,50,post-sunset,4,RGB-LWIR,0.964,Yes
153,100,post-sunset,4,RGB-LWIR,0.838,Yes
154,150,post-sunset,4,RGB-LWIR,0.701,Yes
155,200,post-sunset,4,RGB-LWIR,0.474,Yes
156,250,post-sunset,4,RGB-LWIR,0.705,Yes
157,300,post-sunset,4,RGB-LWIR,0.152,Yes
158,350,post-sunset,4,RGB-LWIR,0.109,Yes
159,400,post-sunset,4,RGB-LWIR,0.169,Yes
160,50,pre-sunrise,5,RGB-LWIR,1.0,Yes
161,100,pre-sunrise,5,RGB-LWIR,1.0,Yes
162,150,pre-sunrise,5,RGB-LWIR,0.505,Yes
163,200,pre-sunrise,5,RGB-LWIR,0.0,Yes
164,250,pre-sunrise,5,RGB-LWIR,0.0,Yes
165,300,pre-sunrise,5,RGB-LWIR,0.163,Yes
166,350,pre-sunrise,5,RGB-LWIR,0.063,Yes
167,400,pre-sunrise,5,RGB-LWIR,0.0,Yes
168,50,post-sunrise,5,RGB-LWIR,0.695,Yes
169,100,post-sunrise,5,RGB-LWIR,1.0,Yes
170,150,post-sunrise,5,RGB-LWIR,1.0,Yes
171,200,post-sunrise,5,RGB-LWIR,0.988,Yes
172,250,post-sunrise,5,RGB-LWIR,0.626,Yes
173,300,post-sunrise,5,RGB-LWIR,0.13,Yes
174,350,post-sunrise,5,RGB-LWIR,0.205,Yes
175,400,post-sunrise,5,RGB-LWIR,0.157,Yes
176,50,noon,5,RGB-LWIR,0.671,Yes
177,100,noon,5,RGB-LWIR,1.0,Yes
178,150,noon,5,RGB-LWIR,1.0,Yes
179,200,noon,5,RGB-LWIR,0.792,Yes
180,250,noon,5,RGB-LWIR,0.477,Yes
181,300,noon,5,RGB-LWIR,0.585,Yes
182,350,noon,5,RGB-LWIR,0.657,Yes
183,400,noon,5,RGB-LWIR,0.331,Yes
184,50,pre-sunset,5,RGB-LWIR,0.672,Yes
185,100,pre-sunset,5,RGB-LWIR,0.949,Yes
186,150,pre-sunset,5,RGB-LWIR,0.775,Yes
187,200,pre-sunset,5,RGB-LWIR,0.772,Yes
188,250,pre-sunset,5,RGB-LWIR,0.577,Yes
189,300,pre-sunset,5,RGB-LWIR,0.633,Yes
190,350,pre-sunset,5,RGB-LWIR,0.538,Yes
191,400,pre-sunset,5,RGB-LWIR,0.4,Yes
192,50,post-sunset,5,RGB-LWIR,0.838,Yes
193,100,post-sunset,5,RGB-LWIR,1.0,Yes
194,150,post-sunset,5,RGB-LWIR,0.672,Yes
195,200,post-sunset,5,RGB-LWIR,0.627,Yes
196,250,post-sunset,5,RGB-LWIR,0.599,Yes
197,300,post-sunset,5,RGB-LWIR,0.152,Yes
198,350,post-sunset,5,RGB-LWIR,0.55,Yes
199,400,post-sunset,5,RGB-LWIR,0.169,Yes
200,50,pre-sunrise,1,RGB,0.0,Yes
201,100,pre-sunrise,1,RGB,0.672,Yes
202,150,pre-sunrise,1,RGB,0.505,Yes
203,200,pre-sunrise,1,RGB,0.36,Yes
204,250,pre-sunrise,1,RGB,0.0,Yes
205,300,pre-sunrise,1,RGB,0.803,Yes
206,350,pre-sunrise,1,RGB,0.172,Yes
207,400,pre-sunrise,1,RGB,0.081,Yes
208,50,post-sunrise,1,RGB,1.0,Yes
209,100,post-sunrise,1,RGB,0.805,Yes
210,150,post-sunrise,1,RGB,1.0,Yes
211,200,post-sunrise,1,RGB,0.865,Yes
212,250,post-sunrise,1,RGB,0.0,Yes
213,300,post-sunrise,1,RGB,0.751,Yes
214,350,post-sunrise,1,RGB,0.392,Yes
215,400,post-sunrise,1,RGB,0.682,Yes
216,50,noon,1,RGB,0.732,Yes
217,100,noon,1,RGB,0.738,Yes
218,150,noon,1,RGB,0.987,Yes
219,200,noon,1,RGB,0.938,Yes
220,250,noon,1,RGB,0.748,Yes
221,300,noon,1,RGB,0.862,Yes
222,350,noon,1,RGB,0.747,Yes
223,400,noon,1,RGB,0.535,Yes
224,50,pre-sunset,1,RGB,0.672,Yes
225,100,pre-sunset,1,RGB,0.794,Yes
226,150,pre-sunset,1,RGB,0.938,Yes
227,200,pre-sunset,1,RGB,0.726,Yes
228,250,pre-sunset,1,RGB,0.638,Yes
229,300,pre-sunset,1,RGB,0.743,Yes
230,350,pre-sunset,1,RGB,0.669,Yes
231,400,pre-sunset,1,RGB,0.545,Yes
232,50,post-sunset,1,RGB,0.505,Yes
233,100,post-sunset,1,RGB,0.755,Yes
234,150,post-sunset,1,RGB,0.56,Yes
235,200,post-sunset,1,RGB,0.148,Yes
236,250,post-sunset,1,RGB,0.255,Yes
237,300,post-sunset,1,RGB,0.166,Yes
238,350,post-sunset,1,RGB,0.106,Yes
239,400,post-sunset,1,RGB,0.151,Yes
240,50,pre-sunrise,2,RGB,0.0,Yes
241,100,pre-sunrise,2,RGB,0.755,Yes
242,150,pre-sunrise,2,RGB,0.505,Yes
243,200,pre-sunrise,2,RGB,0.434,Yes
244,250,pre-sunrise,2,RGB,0.338,Yes
245,300,pre-sunrise,2,RGB,0.0,Yes
246,350,pre-sunrise,2,RGB,0.095,Yes
247,400,pre-sunrise,2,RGB,0.043,Yes
248,50,post-sunrise,2,RGB,0.505,Yes
249,100,post-sunrise,2,RGB,0.999,Yes
250,150,post-sunrise,2,RGB,0.672,Yes
251,200,post-sunrise,2,RGB,0.959,Yes
252,250,post-sunrise,2,RGB,0.672,Yes
253,300,post-sunrise,2,RGB,0.894,Yes
254,350,post-sunrise,2,RGB,0.405,Yes
255,400,post-sunrise,2,RGB,0.672,Yes
256,50,noon,2,RGB,0.905,Yes
257,100,noon,2,RGB,1.0,Yes
258,150,noon,2,RGB,1.0,Yes
259,200,noon,2,RGB,0.904,Yes
260,250,noon,2,RGB,0.748,Yes
261,300,noon,2,RGB,0.77,Yes
262,350,noon,2,RGB,0.776,Yes
263,400,noon,2,RGB,0.495,Yes
264,50,pre-sunset,2,RGB,0.531,Yes
265,100,pre-sunset,2,RGB,0.946,Yes
266,150,pre-sunset,2,RGB,0.938,Yes
267,200,pre-sunset,2,RGB,0.736,Yes
268,250,pre-sunset,2,RGB,0.732,Yes
269,300,pre-sunset,2,RGB,0.705,Yes
270,350,pre-sunset,2,RGB,0.568,Yes
271,400,pre-sunset,2,RGB,0.474,Yes
272,50,post-sunset,2,RGB,0.205,Yes
273,100,post-sunset,2,RGB,0.862,Yes
274,150,post-sunset,2,RGB,0.999,Yes
275,200,post-sunset,2,RGB,0.253,Yes
276,250,post-sunset,2,RGB,0.255,Yes
277,300,post-sunset,2,RGB,0.081,Yes
278,350,post-sunset,2,RGB,0.23,Yes
279,400,post-sunset,2,RGB,0.236,Yes
280,50,pre-sunrise,3,RGB,0.0,Yes
281,100,pre-sunrise,3,RGB,0.755,Yes
282,150,pre-sunrise,3,RGB,0.505,Yes
283,200,pre-sunrise,3,RGB,0.576,Yes
284,250,pre-sunrise,3,RGB,0.0,Yes
285,300,pre-sunrise,3,RGB,0.148,Yes
286,350,pre-sunrise,3,RGB,0.116,Yes
287,400,pre-sunrise,3,RGB,0.088,Yes
288,50,post-sunrise,3,RGB,1.0,Yes
289,100,post-sunrise,3,RGB,0.838,Yes
290,150,post-sunrise,3,RGB,1.0,Yes
291,200,post-sunrise,3,RGB,0.823,Yes
292,250,post-sunrise,3,RGB,0.672,Yes
293,300,post-sunrise,3,RGB,1.0,Yes
294,350,post-sunrise,3,RGB,0.695,Yes
295,400,post-sunrise,3,RGB,0.666,Yes
296,50,noon,3,RGB,0.641,Yes
297,100,noon,3,RGB,0.914,Yes
298,150,noon,3,RGB,0.91,Yes
299,200,noon,3,RGB,0.88,Yes
300,250,noon,3,RGB,0.807,Yes
301,300,noon,3,RGB,0.753,Yes
302,350,noon,3,RGB,0.597,Yes
303,400,noon,3,RGB,0.347,Yes
304,50,pre-sunset,3,RGB,0.593,Yes
305,100,pre-sunset,3,RGB,0.744,Yes
306,150,pre-sunset,3,RGB,0.898,Yes
307,200,pre-sunset,3,RGB,0.755,Yes
308,250,pre-sunset,3,RGB,0.838,Yes
309,300,pre-sunset,3,RGB,0.696,Yes
310,350,pre-sunset,3,RGB,0.61,Yes
311,400,pre-sunset,3,RGB,0.491,Yes
312,50,post-sunset,3,RGB,0.505,Yes
313,100,post-sunset,3,RGB,0.695,Yes
314,150,post-sunset,3,RGB,0.854,Yes
315,200,post-sunset,3,RGB,0.278,Yes
316,250,post-sunset,3,RGB,0.348,Yes
317,300,post-sunset,3,RGB,0.103,Yes
318,350,post-sunset,3,RGB,0.151,Yes
319,400,post-sunset,3,RGB,0.116,Yes
320,50,pre-sunrise,4,RGB,1.0,Yes
321,100,pre-sunrise,4,RGB,0.405,Yes
322,150,pre-sunrise,4,RGB,0.0,Yes
323,200,pre-sunrise,4,RGB,0.405,Yes
324,250,pre-sunrise,4,RGB,0.0,Yes
325,300,pre-sunrise,4,RGB,0.0,Yes
326,350,pre-sunrise,4,RGB,0.172,Yes
327,400,pre-sunrise,4,RGB,0.077,Yes
328,50,post-sunrise,4,RGB,1.0,Yes
329,100,post-sunrise,4,RGB,0.672,Yes
330,150,post-sunrise,4,RGB,0.755,Yes
331,200,post-sunrise,4,RGB,0.815,Yes
332,250,post-sunrise,4,RGB,0.755,Yes
333,300,post-sunrise,4,RGB,0.755,Yes
334,350,post-sunrise,4,RGB,0.505,Yes
335,400,post-sunrise,4,RGB,0.641,Yes
336,50,noon,4,RGB,0.697,Yes
337,100,noon,4,RGB,0.922,Yes
338,150,noon,4,RGB,0.767,Yes
339,200,noon,4,RGB,0.88,Yes
340,250,noon,4,RGB,0.791,Yes
341,300,noon,4,RGB,0.734,Yes
342,350,noon,4,RGB,0.374,Yes
343,400,noon,4,RGB,0.462,Yes
344,50,pre-sunset,4,RGB,0.905,Yes
345,100,pre-sunset,4,RGB,0.672,Yes
346,150,pre-sunset,4,RGB,0.914,Yes
347,200,pre-sunset,4,RGB,0.81,Yes
348,250,pre-sunset,4,RGB,0.813,Yes
349,300,pre-sunset,4,RGB,0.771,Yes
350,350,pre-sunset,4,RGB,0.512,Yes
351,400,pre-sunset,4,RGB,0.549,Yes
352,50,post-sunset,4,RGB,0.576,Yes
353,100,post-sunset,4,RGB,0.073,Yes
354,150,post-sunset,4,RGB,0.588,Yes
355,200,post-sunset,4,RGB,0.505,Yes
356,250,post-sunset,4,RGB,0.332,Yes
357,300,post-sunset,4,RGB,0.168,Yes
358,350,post-sunset,4,RGB,0.17,Yes
359,400,post-sunset,4,RGB,0.325,Yes
360,50,pre-sunrise,5,RGB,0.0,Yes
361,100,pre-sunrise,5,RGB,0.405,Yes
362,150,pre-sunrise,5,RGB,0.128,Yes
363,200,pre-sunrise,5,RGB,0.0,Yes
364,250,pre-sunrise,5,RGB,0.0,Yes
365,300,pre-sunrise,5,RGB,0.337,Yes
366,350,pre-sunrise,5,RGB,0.146,Yes
367,400,pre-sunrise,5,RGB,0.431,Yes
368,50,post-sunrise,5,RGB,0.719,Yes
369,100,post-sunrise,5,RGB,1.0,Yes
370,150,post-sunrise,5,RGB,0.672,Yes
371,200,post-sunrise,5,RGB,0.999,Yes
372,250,post-sunrise,5,RGB,0.935,Yes
373,300,post-sunrise,5,RGB,0.38,Yes
374,350,post-sunrise,5,RGB,0.747,Yes
375,400,post-sunrise,5,RGB,0.588,Yes
376,50,noon,5,RGB,0.851,Yes
377,100,noon,5,RGB,0.922,Yes
