,elevation,flight,iteration,band,accuracy,image_processing
524,250,pre-sunrise,4,LWIR,0.0,Yes
525,300,pre-sunrise,4,LWIR,0.12,Yes
526,350,pre-sunrise,4,LWIR,0.0,Yes
527,400,pre-sunrise,4,LWIR,0.0,Yes
528,50,post-sunrise,4,LWIR,0.0,Yes
529,100,post-sunrise,4,LWIR,0.338,Yes
530,150,post-sunrise,4,LWIR,0.0,Yes
531,200,post-sunrise,4,LWIR,0.0,Yes
532,250,post-sunrise,4,LWIR,0.0,Yes
533,300,post-sunrise,4,LWIR,0.148,Yes
534,350,post-sunrise,4,LWIR,0.0,Yes
535,400,post-sunrise,4,LWIR,0.0,Yes
536,50,noon,4,LWIR,0.46,Yes
537,100,noon,4,LWIR,0.605,Yes
538,150,noon,4,LWIR,0.449,Yes
539,200,noon,4,LWIR,0.159,Yes
540,250,noon,4,LWIR,0.274,Yes
541,300,noon,4,LWIR,0.199,Yes
542,350,noon,4,LWIR,0.045,Yes
543,400,noon,4,LWIR,0.179,Yes
544,50,pre-sunset,4,LWIR,0.805,Yes
545,100,pre-sunset,4,LWIR,0.755,Yes
546,150,pre-sunset,4,LWIR,0.852,Yes
547,200,pre-sunset,4,LWIR,0.711,Yes
548,250,pre-sunset,4,LWIR,0.727,Yes
549,300,pre-sunset,4,LWIR,0.249,Yes
550,350,pre-sunset,4,LWIR,0.074,Yes
551,400,pre-sunset,4,LWIR,0.018,Yes
552,50,post-sunset,4,LWIR,0.752,Yes
553,100,post-sunset,4,LWIR,0.672,Yes
554,150,post-sunset,4,LWIR,0.641,Yes
555,200,post-sunset,4,LWIR,0.505,Yes
556,250,post-sunset,4,LWIR,0.687,Yes
557,300,post-sunset,4,LWIR,0.153,Yes
558,350,post-sunset,4,LWIR,0.434,Yes
559,400,post-sunset,4,LWIR,0.1,Yes
560,50,pre-sunrise,5,LWIR,1.0,Yes
561,100,pre-sunrise,5,LWIR,0.405,Yes
562,150,pre-sunrise,5,LWIR,0.338,Yes
563,200,pre-sunrise,5,LWIR,0.0,Yes
564,250,pre-sunrise,5,LWIR,0.0,Yes
565,300,pre-sunrise,5,LWIR,0.329,Yes
566,350,pre-sunrise,5,LWIR,0.06,Yes
567,400,pre-sunrise,5,LWIR,0.0,Yes
568,50,post-sunrise,5,LWIR,0.148,Yes
569,100,post-sunrise,5,LWIR,0.505,Yes
570,150,post-sunrise,5,LWIR,0.672,Yes
571,200,post-sunrise,5,LWIR,0.255,Yes
572,250,post-sunrise,5,LWIR,0.0,Yes
573,300,post-sunrise,5,LWIR,0.0,Yes
574,350,post-sunrise,5,LWIR,0.0,Yes
575,400,post-sunrise,5,LWIR,0.0,Yes
576,50,noon,5,LWIR,0.672,Yes
577,100,noon,5,LWIR,0.605,Yes
578,150,noon,5,LWIR,0.617,Yes
579,200,noon,5,LWIR,0.123,Yes
580,250,noon,5,LWIR,0.274,Yes
581,300,noon,5,LWIR,0.1,Yes
582,350,noon,5,LWIR,0.205,Yes
583,400,noon,5,LWIR,0.179,Yes
584,50,pre-sunset,5,LWIR,0.641,Yes
585,100,pre-sunset,5,LWIR,0.949,Yes
586,150,pre-sunset,5,LWIR,0.812,Yes
587,200,pre-sunset,5,LWIR,0.842,Yes
588,250,pre-sunset,5,LWIR,0.632,Yes
589,300,pre-sunset,5,LWIR,0.312,Yes
590,350,pre-sunset,5,LWIR,0.398,Yes
591,400,pre-sunset,5,LWIR,0.07,Yes
592,50,post-sunset,5,LWIR,1.0,Yes
593,100,post-sunset,5,LWIR,0.862,Yes
594,150,post-sunset,5,LWIR,0.63,Yes
595,200,post-sunset,5,LWIR,0.348,Yes
596,250,post-sunset,5,LWIR,0.427,Yes
597,300,post-sunset,5,LWIR,0.241,Yes
598,350,post-sunset,5,LWIR,0.383,Yes
599,400,post-sunset,5,LWIR,0.12,Yes
600,50,pre-sunrise,1,RGB-LWIR,0.0,No
601,100,pre-sunrise,1,RGB-LWIR,1.0,No
602,150,pre-sunrise,1,RGB-LWIR,0.998,No
603,200,pre-sunrise,1,RGB-LWIR,0.073,No
604,250,pre-sunrise,1,RGB-LWIR,0.0793,No
605,300,pre-sunrise,1,RGB-LWIR,0.046,No
606,350,pre-sunrise,1,RGB-LWIR,0.0,No
607,400,pre-sunrise,1,RGB-LWIR,0.0,No
608,50,post-sunrise,1,RGB-LWIR,0.999,No
609,100,post-sunrise,1,RGB-LWIR,0.755,No
610,150,post-sunrise,1,RGB-LWIR,0.998,No
611,200,post-sunrise,1,RGB-LWIR,0.525,No
612,250,post-sunrise,1,RGB-LWIR,0.54,No
613,300,post-sunrise,1,RGB-LWIR,0.222,No
614,350,post-sunrise,1,RGB-LWIR,0.0,No
615,400,post-sunrise,1,RGB-LWIR,0.126,No
616,50,noon,1,RGB-LWIR,0.732,No
617,100,noon,1,RGB-LWIR,0.46,No
618,150,noon,1,RGB-LWIR,0.72,No
619,200,noon,1,RGB-LWIR,0.863,No
620,250,noon,1,RGB-LWIR,0.428,No
621,300,noon,1,RGB-LWIR,0.297,No
622,350,noon,1,RGB-LWIR,0.476,No
623,400,noon,1,RGB-LWIR,0.269,No
624,50,pre-sunset,1,RGB-LWIR,0.892,No
625,100,pre-sunset,1,RGB-LWIR,0.783,No
626,150,pre-sunset,1,RGB-LWIR,0.871,No
627,200,pre-sunset,1,RGB-LWIR,0.714,No
628,250,pre-sunset,1,RGB-LWIR,0.549,No
629,300,pre-sunset,1,RGB-LWIR,0.574,No
630,350,pre-sunset,1,RGB-LWIR,0.384,No
631,400,pre-sunset,1,RGB-LWIR,0.284,No
632,50,post-sunset,1,RGB-LWIR,0.1,No
633,100,post-sunset,1,RGB-LWIR,0.999,No
634,150,post-sunset,1,RGB-LWIR,0.503,No
635,200,post-sunset,1,RGB-LWIR,0.439,No
636,250,post-sunset,1,RGB-LWIR,0.13,No
637,300,post-sunset,1,RGB-LWIR,0.265,No
638,350,post-sunset,1,RGB-LWIR,0.281,No
639,400,post-sunset,1,RGB-LWIR,0.29,No
640,50,pre-sunrise,2,RGB-LWIR,0.0,No
641,100,pre-sunrise,2,RGB-LWIR,0.603,No
642,150,pre-sunrise,2,RGB-LWIR,0.998,No
643,200,pre-sunrise,2,RGB-LWIR,0.073,No
644,250,pre-sunrise,2,RGB-LWIR,0.05,No
645,300,pre-sunrise,2,RGB-LWIR,0.046,No
646,350,pre-sunrise,2,RGB-LWIR,0.0,No
647,400,pre-sunrise,2,RGB-LWIR,0.11,No
648,50,post-sunrise,2,RGB-LWIR,1.0,No
649,100,post-sunrise,2,RGB-LWIR,0.669,No
650,150,post-sunrise,2,RGB-LWIR,0.998,No
651,200,post-sunrise,2,RGB-LWIR,0.567,No
652,250,post-sunrise,2,RGB-LWIR,0.672,No
653,300,post-sunrise,2,RGB-LWIR,0.561,No
654,350,post-sunrise,2,RGB-LWIR,0.0,No
655,400,post-sunrise,2,RGB-LWIR,0.227,No
656,50,noon,2,RGB-LWIR,3.0,No
657,100,noon,2,RGB-LWIR,0.752,No
658,150,noon,2,RGB-LWIR,0.905,No
659,200,noon,2,RGB-LWIR,0.897,No
660,250,noon,2,RGB-LWIR,0.501,No
661,300,noon,2,RGB-LWIR,0.34,No
662,350,noon,2,RGB-LWIR,0.676,No
663,400,noon,2,RGB-LWIR,0.158,No
664,50,pre-sunset,2,RGB-LWIR,0.872,No
665,100,pre-sunset,2,RGB-LWIR,0.829,No
666,150,pre-sunset,2,RGB-LWIR,0.842,No
667,200,pre-sunset,2,RGB-LWIR,0.715,No
668,250,pre-sunset,2,RGB-LWIR,0.624,No
669,300,pre-sunset,2,RGB-LWIR,0.461,No
670,350,pre-sunset,2,RGB-LWIR,0.353,No
671,400,pre-sunset,2,RGB-LWIR,0.174,No
672,50,post-sunset,2,RGB-LWIR,0.805,No
673,100,post-sunset,2,RGB-LWIR,0.999,No
674,150,post-sunset,2,RGB-LWIR,1.0,No
675,200,post-sunset,2,RGB-LWIR,0.54,No
676,250,post-sunset,2,RGB-LWIR,0.035,No
677,300,post-sunset,2,RGB-LWIR,0.311,No
678,350,post-sunset,2,RGB-LWIR,0.26,No
679,400,post-sunset,2,RGB-LWIR,0.291,No
680,50,pre-sunrise,3,RGB-LWIR,1.0,No
681,100,pre-sunrise,3,RGB-LWIR,0.752,No
682,150,pre-sunrise,3,RGB-LWIR,0.418,No
683,200,pre-sunrise,3,RGB-LWIR,0.359,No
684,250,pre-sunrise,3,RGB-LWIR,0.0,No
685,300,pre-sunrise,3,RGB-LWIR,0.0,No
686,350,pre-sunrise,3,RGB-LWIR,0.079,No
687,400,pre-sunrise,3,RGB-LWIR,0.046,No
688,50,post-sunrise,3,RGB-LWIR,0.997,No
689,100,post-sunrise,3,RGB-LWIR,0.999,No
690,150,post-sunrise,3,RGB-LWIR,0.668,No
691,200,post-sunrise,3,RGB-LWIR,0.904,No
692,250,post-sunrise,3,RGB-LWIR,0.46,No
693,300,post-sunrise,3,RGB-LWIR,0.187,No
694,350,post-sunrise,3,RGB-LWIR,0.135,No
695,400,post-sunrise,3,RGB-LWIR,0.051,No
696,50,noon,3,RGB-LWIR,0.405,No
697,100,noon,3,RGB-LWIR,0.782,No
698,150,noon,3,RGB-LWIR,0.532,No
699,200,noon,3,RGB-LWIR,0.815,No
700,250,noon,3,RGB-LWIR,0.39,No
701,300,noon,3,RGB-LWIR,0.338,No
702,350,noon,3,RGB-LWIR,0.14,No
703,400,noon,3,RGB-LWIR,0.145,No
704,50,pre-sunset,3,RGB-LWIR,0.829,No
705,100,pre-sunset,3,RGB-LWIR,0.829,No
706,150,pre-sunset,3,RGB-LWIR,0.576,No
707,200,pre-sunset,3,RGB-LWIR,0.682,No
708,250,pre-sunset,3,RGB-LWIR,0.662,No
709,300,pre-sunset,3,RGB-LWIR,0.461,No
710,350,pre-sunset,3,RGB-LWIR,0.398,No
711,400,pre-sunset,3,RGB-LWIR,0.335,No
712,50,post-sunset,3,RGB-LWIR,0.505,No
713,100,post-sunset,3,RGB-LWIR,0.86,No
714,150,post-sunset,3,RGB-LWIR,0.504,No
715,200,post-sunset,3,RGB-LWIR,0.338,No
716,250,post-sunset,3,RGB-LWIR,0.788,No
717,300,post-sunset,3,RGB-LWIR,0.303,No
718,350,post-sunset,3,RGB-LWIR,0.15,No
719,400,post-sunset,3,RGB-LWIR,0.234,No
720,50,pre-sunrise,4,RGB-LWIR,0.5,No
721,100,pre-sunrise,4,RGB-LWIR,0.2,No
722,150,pre-sunrise,4,RGB-LWIR,0.167,No
723,200,pre-sunrise,4,RGB-LWIR,0.359,No
724,250,pre-sunrise,4,RGB-LWIR,0.0,No
725,300,pre-sunrise,4,RGB-LWIR,0.0,No
726,350,pre-sunrise,4,RGB-LWIR,0.0,No
727,400,pre-sunrise,4,RGB-LWIR,0.0,No
728,50,post-sunrise,4,RGB-LWIR,1.0,No
729,100,post-sunrise,4,RGB-LWIR,0.672,No
730,150,post-sunrise,4,RGB-LWIR,0.668,No
731,200,post-sunrise,4,RGB-LWIR,0.779,No
732,250,post-sunrise,4,RGB-LWIR,0.63,No
733,300,post-sunrise,4,RGB-LWIR,0.291,No
734,350,post-sunrise,4,RGB-LWIR,0.205,No
735,400,post-sunrise,4,RGB-LWIR,0.116,No
736,50,noon,4,RGB-LWIR,0.703,No
737,100,noon,4,RGB-LWIR,0.721,No
738,150,noon,4,RGB-LWIR,0.668,No
739,200,noon,4,RGB-LWIR,0.916,No
740,250,noon,4,RGB-LWIR,0.322,No
741,300,noon,4,RGB-LWIR,0.409,No
742,350,noon,4,RGB-LWIR,0.135,No
743,400,noon,4,RGB-LWIR,0.293,No
744,50,pre-sunset,4,RGB-LWIR,0.905,No
745,100,pre-sunset,4,RGB-LWIR,0.67,No
746,150,pre-sunset,4,RGB-LWIR,0.576,No
747,200,pre-sunset,4,RGB-LWIR,0.749,No
748,250,pre-sunset,4,RGB-LWIR,0.656,No
749,300,pre-sunset,4,RGB-LWIR,0.359,No
750,350,pre-sunset,4,RGB-LWIR,0.295,No
751,400,pre-sunset,4,RGB-LWIR,0.333,No
752,50,post-sunset,4,RGB-LWIR,0.718,No
753,100,post-sunset,4,RGB-LWIR,0.837,No
754,150,post-sunset,4,RGB-LWIR,0.517,No
755,200,post-sunset,4,RGB-LWIR,0.318,No
756,250,post-sunset,4,RGB-LWIR,0.655,No
757,300,post-sunset,4,RGB-LWIR,0.307,No
758,350,post-sunset,4,RGB-LWIR,0.63,No
759,400,post-sunset,4,RGB-LWIR,0.276,No
760,50,pre-sunrise,5,RGB-LWIR,1.0,No
761,100,pre-sunrise,5,RGB-LWIR,0.251,No
762,150,pre-sunrise,5,RGB-LWIR,0.629,No
763,200,pre-sunrise,5,RGB-LWIR,0.0,No
764,250,pre-sunrise,5,RGB-LWIR,0.067,No
765,300,pre-sunrise,5,RGB-LWIR,0.307,No
766,350,pre-sunrise,5,RGB-LWIR,0.123,No
767,400,pre-sunrise,5,RGB-LWIR,0.0,No
768,50,post-sunrise,5,RGB-LWIR,0.549,No
769,100,post-sunrise,5,RGB-LWIR,0.672,No
770,150,post-sunrise,5,RGB-LWIR,0.672,No
771,200,post-sunrise,5,RGB-LWIR,0.872,No
772,250,post-sunrise,5,RGB-LWIR,0.63,No
773,300,post-sunrise,5,RGB-LWIR,0.0,No
774,350,post-sunrise,5,RGB-LWIR,0.205,No
775,400,post-sunrise,5,RGB-LWIR,0.247,No
776,50,noon,5,RGB-LWIR,0.703,No
777,100,noon,5,RGB-LWIR,0.999,No
778,150,noon,5,RGB-LWIR,0.668,No
779,200,noon,5,RGB-LWIR,0.813,No
780,250,noon,5,RGB-LWIR,0.057,No
781,300,noon,5,RGB-LWIR,0.42,No
782,350,noon,5,RGB-LWIR,0.135,No
783,400,noon,5,RGB-LWIR,0.213,No
784,50,pre-sunset,5,RGB-LWIR,0.671,No
785,100,pre-sunset,5,RGB-LWIR,0.949,No
786,150,pre-sunset,5,RGB-LWIR,0.684,No
787,200,pre-sunset,5,RGB-LWIR,0.749,No
788,250,pre-sunset,5,RGB-LWIR,0.535,No
789,300,pre-sunset,5,RGB-LWIR,0.507,No
790,350,pre-sunset,5,RGB-LWIR,0.402,No
791,400,pre-sunset,5,RGB-LWIR,0.293,No
792,50,post-sunset,5,RGB-LWIR,0.838,No
793,100,post-sunset,5,RGB-LWIR,1.0,No
794,150,post-sunset,5,RGB-LWIR,0.538,No
795,200,post-sunset,5,RGB-LWIR,0.487,No
796,250,post-sunset,5,RGB-LWIR,0.405,No
797,300,post-sunset,5,RGB-LWIR,0.352,No
798,350,post-sunset,5,RGB-LWIR,0.538,No
799,400,post-sunset,5,RGB-LWIR,0.12,No
800,50,pre-sunrise,1,RGB,0.0,No
801,100,pre-sunrise,1,RGB,0.669,No
802,150,pre-sunrise,1,RGB,0.505,No
803,200,pre-sunrise,1,RGB,0.434,No
804,250,pre-sunrise,1,RGB,0.0,No
805,300,pre-sunrise,1,RGB,0.101,No
806,350,pre-sunrise,1,RGB,0.172,No
807,400,pre-sunrise,1,RGB,0.0,No
808,50,post-sunrise,1,RGB,0.999,No
809,100,post-sunrise,1,RGB,1.0,No
810,150,post-sunrise,1,RGB,0.997,No
811,200,post-sunrise,1,RGB,0.993,No
812,250,post-sunrise,1,RGB,0.842,No
813,300,post-sunrise,1,RGB,0.362,No
814,350,post-sunrise,1,RGB,0.291,No
815,400,post-sunrise,1,RGB,0.234,No
816,50,noon,1,RGB,0.732,No
817,100,noon,1,RGB,0.819,No
818,150,noon,1,RGB,0.924,No
819,200,noon,1,RGB,0.96,No
820,250,noon,1,RGB,0.75,No
821,300,noon,1,RGB,0.67,No
822,350,noon,1,RGB,0.636,No
823,400,noon,1,RGB,0.474,No
824,50,pre-sunset,1,RGB,0.783,No
825,100,pre-sunset,1,RGB,0.862,No
826,150,pre-sunset,1,RGB,1.0,No
827,200,pre-sunset,1,RGB,0.857,No
828,250,pre-sunset,1,RGB,0.62,No
829,300,pre-sunset,1,RGB,0.79,No
830,350,pre-sunset,1,RGB,0.686,No
831,400,pre-sunset,1,RGB,0.401,No
832,50,post-sunset,1,RGB,0.505,No
833,100,post-sunset,1,RGB,0.863,No
834,150,post-sunset,1,RGB,0.449,No
835,200,post-sunset,1,RGB,0.128,No
836,250,post-sunset,1,RGB,0.443,No
837,300,post-sunset,1,RGB,0.102,No
838,350,post-sunset,1,RGB,0.164,No
839,400,post-sunset,1,RGB,0.014,No
840,50,pre-sunrise,2,RGB,0.505,No
841,100,pre-sunrise,2,RGB,1.0,No
842,150,pre-sunrise,2,RGB,1.0,No
843,200,pre-sunrise,2,RGB,0.434,No
844,250,pre-sunrise,2,RGB,0.0,No
845,300,pre-sunrise,2,RGB,0.805,No
846,350,pre-sunrise,2,RGB,0.095,No
847,400,pre-sunrise,2,RGB,0.0,No
848,50,post-sunrise,2,RGB,1.0,No
849,100,post-sunrise,2,RGB,0.998,No
850,150,post-sunrise,2,RGB,0.998,No
851,200,post-sunrise,2,RGB,0.959,No
852,250,post-sunrise,2,RGB,1.0,No
853,300,post-sunrise,2,RGB,0.672,No
854,350,post-sunrise,2,RGB,0.405,No
855,400,post-sunrise,2,RGB,0.561,No
856,50,noon,2,RGB,0.823,No
857,100,noon,2,RGB,1.0,No
858,150,noon,2,RGB,1.0,No
859,200,noon,2,RGB,0.826,No
860,250,noon,2,RGB,0.869,No
861,300,noon,2,RGB,0.631,No
862,350,noon,2,RGB,0.757,No
863,400,noon,2,RGB,0.411,No
864,50,pre-sunset,2,RGB,0.689,No
865,100,pre-sunset,2,RGB,0.829,No
866,150,pre-sunset,2,RGB,0.999,No
867,200,pre-sunset,2,RGB,0.892,No
868,250,pre-sunset,2,RGB,0.747,No
869,300,pre-sunset,2,RGB,0.689,No
870,350,pre-sunset,2,RGB,0.559,No
871,400,pre-sunset,2,RGB,0.412,No
872,50,post-sunset,2,RGB,0.884,No
873,100,post-sunset,2,RGB,1.0,No
874,150,post-sunset,2,RGB,0.999,No
875,200,post-sunset,2,RGB,0.424,No
876,250,post-sunset,2,RGB,0.338,No
877,300,post-sunset,2,RGB,0.219,No
878,350,post-sunset,2,RGB,0.15,No
879,400,post-sunset,2,RGB,0.172,No
880,50,pre-sunrise,3,RGB,0.672,No
881,100,pre-sunrise,3,RGB,0.247,No
882,150,pre-sunrise,3,RGB,0.255,No
883,200,pre-sunrise,3,RGB,0.576,No
884,250,pre-sunrise,3,RGB,0.0,No
885,300,pre-sunrise,3,RGB,0.434,No
886,350,pre-sunrise,3,RGB,0.116,No
887,400,pre-sunrise,3,RGB,0.0,No
888,50,post-sunrise,3,RGB,0.998,No
889,100,post-sunrise,3,RGB,1.0,No
890,150,post-sunrise,3,RGB,0.999,No
891,200,post-sunrise,3,RGB,0.847,No
892,250,post-sunrise,3,RGB,0.661,No
893,300,post-sunrise,3,RGB,0.914,No
894,350,post-sunrise,3,RGB,0.315,No
895,400,post-sunrise,3,RGB,0.201,No
896,50,noon,3,RGB,0.46,No
897,100,noon,3,RGB,0.914,No
898,150,noon,3,RGB,0.908,No
899,200,noon,3,RGB,0.869,No
900,250,noon,3,RGB,0.869,No
901,300,noon,3,RGB,0.631,No
902,350,noon,3,RGB,0.468,No
903,400,noon,3,RGB,0.318,No
904,50,pre-sunset,3,RGB,0.769,No
905,100,pre-sunset,3,RGB,0.918,No
906,150,pre-sunset,3,RGB,0.853,No
907,200,pre-sunset,3,RGB,0.801,No
908,250,pre-sunset,3,RGB,0.731,No
909,300,pre-sunset,3,RGB,0.753,No
910,350,pre-sunset,3,RGB,0.468,No
911,400,pre-sunset,3,RGB,0.411,No
912,50,post-sunset,3,RGB,0.502,No
913,100,post-sunset,3,RGB,0.862,No
914,150,post-sunset,3,RGB,0.788,No
915,200,post-sunset,3,RGB,0.368,No
916,250,post-sunset,3,RGB,0.485,No
917,300,post-sunset,3,RGB,0.124,No
918,350,post-sunset,3,RGB,0.078,No
919,400,post-sunset,3,RGB,0.172,No
920,50,pre-sunrise,4,RGB,0.998,No
921,100,pre-sunrise,4,RGB,0.247,No
922,150,pre-sunrise,4,RGB,0.255,No
923,200,pre-sunrise,4,RGB,0.576,No
924,250,pre-sunrise,4,RGB,0.0,No
925,300,pre-sunrise,4,RGB,0.073,No
926,350,pre-sunrise,4,RGB,0.116,No
927,400,pre-sunrise,4,RGB,0.0,No
928,50,post-sunrise,4,RGB,1.0,No
929,100,post-sunrise,4,RGB,0.809,No
930,150,post-sunrise,4,RGB,0.999,No
931,200,post-sunrise,4,RGB,0.763,No
932,250,post-sunrise,4,RGB,1.0,No
933,300,post-sunrise,4,RGB,0.505,No
934,350,post-sunrise,4,RGB,0.672,No
935,400,post-sunrise,4,RGB,0.311,No
936,50,noon,4,RGB,0.543,No
937,100,noon,4,RGB,0.838,No
938,150,noon,4,RGB,0.608,No
939,200,noon,4,RGB,0.938,No
940,250,noon,4,RGB,0.728,No
941,300,noon,4,RGB,0.624,No
942,350,noon,4,RGB,0.283,No
943,400,noon,4,RGB,0.357,No
944,50,pre-sunset,4,RGB,1.0,No
945,100,pre-sunset,4,RGB,0.78,No
946,150,pre-sunset,4,RGB,0.959,No
947,200,pre-sunset,4,RGB,0.849,No
948,250,pre-sunset,4,RGB,0.731,No
949,300,pre-sunset,4,RGB,0.753,No
950,350,pre-sunset,4,RGB,0.494,No
951,400,pre-sunset,4,RGB,0.443,No
952,50,post-sunset,4,RGB,0.821,No
953,100,post-sunset,4,RGB,0.546,No
954,150,post-sunset,4,RGB,0.788,No
955,200,post-sunset,4,RGB,0.719,No
956,250,post-sunset,4,RGB,0.242,No
957,300,post-sunset,4,RGB,0.113,No
958,350,post-sunset,4,RGB,0.0,No
959,400,post-sunset,4,RGB,0.112,No
960,50,pre-sunrise,5,RGB,0.998,No
961,100,pre-sunrise,5,RGB,0.505,No
962,150,pre-sunrise,5,RGB,0.19,No
963,200,pre-sunrise,5,RGB,0.505,No
964,250,pre-sunrise,5,RGB,0.672,No
965,300,pre-sunrise,5,RGB,0.084,No
966,350,pre-sunrise,5,RGB,0.148,No
967,400,pre-sunrise,5,RGB,0.219,No
968,50,post-sunrise,5,RGB,0.6,No
969,100,post-sunrise,5,RGB,1.0,No
970,150,post-sunrise,5,RGB,1.0,No
971,200,post-sunrise,5,RGB,1.0,No
972,250,post-sunrise,5,RGB,0.738,No
973,300,post-sunrise,5,RGB,0.38,No
974,350,post-sunrise,5,RGB,0.203,No
975,400,post-sunrise,5,RGB,0.217,No
976,50,noon,5,RGB,0.774,No
977,100,noon,5,RGB,0.862,No
978,150,noon,5,RGB,0.919,No
979,200,noon,5,RGB,0.949,No
980,250,noon,5,RGB,0.703,No
981,300,noon,5,RGB,0.79,No
982,350,noon,5,RGB,0.627,No
983,400,noon,5,RGB,0.324,No
984,50,pre-sunset,5,RGB,0.705,No
985,100,pre-sunset,5,RGB,0.949,No
986,150,pre-sunset,5,RGB,0.999,No
987,200,pre-sunset,5,RGB,0.836,No
988,250,pre-sunset,5,RGB,0.654,No
989,300,pre-sunset,5,RGB,0.682,No
990,350,pre-sunset,5,RGB,0.582,No
991,400,pre-sunset,5,RGB,0.466,No
992,50,post-sunset,5,RGB,0.821,No
993,100,post-sunset,5,RGB,0.861,No
994,150,post-sunset,5,RGB,0.63,No
995,200,post-sunset,5,RGB,0.169,No
996,250,post-sunset,5,RGB,0.426,No
997,300,post-sunset,5,RGB,0.24,No
998,350,post-sunset,5,RGB,0.0,No
999,400,post-sunset,5,RGB,0.086,No
1000,50,pre-sunrise,1,LWIR,0.0,No
1001,100,pre-sunrise,1,LWIR,1.0,No
1002,150,pre-sunrise,1,LWIR,1.0,No
1003,200,pre-sunrise,1,LWIR,0.279,No
1004,250,pre-sunrise,1,LWIR,0.0,No
1005,300,pre-sunrise,1,LWIR,0.0,No
1006,350,pre-sunrise,1,LWIR,0.0,No
1007,400,pre-sunrise,1,LWIR,0.0,No
1008,50,post-sunrise,1,LWIR,0.672,No
1009,100,post-sunrise,1,LWIR,0.0,No
1010,150,post-sunrise,1,LWIR,0.058,No
1011,200,post-sunrise,1,LWIR,0.4,No
1012,250,post-sunrise,1,LWIR,0.0,No
1013,300,post-sunrise,1,LWIR,0.0,No
1014,350,post-sunrise,1,LWIR,0.0,No
1015,400,post-sunrise,1,LWIR,0.0,No
1016,50,noon,1,LWIR,0.444,No
1017,100,noon,1,LWIR,0.704,No
1018,150,noon,1,LWIR,0.728,No
1019,200,noon,1,LWIR,0.809,No
1020,250,noon,1,LWIR,0.338,No
1021,300,noon,1,LWIR,0.161,No
1022,350,noon,1,LWIR,0.311,No
1023,400,noon,1,LWIR,0.11,No
1024,50,pre-sunset,1,LWIR,0.755,No
1025,100,pre-sunset,1,LWIR,0.88,No
1026,150,pre-sunset,1,LWIR,0.773,No
1027,200,pre-sunset,1,LWIR,0.658,No
1028,250,pre-sunset,1,LWIR,0.299,No
1029,300,pre-sunset,1,LWIR,0.467,No
1030,350,pre-sunset,1,LWIR,0.36,No
1031,400,pre-sunset,1,LWIR,0.17,No
1032,50,post-sunset,1,LWIR,0.168,No
1033,100,post-sunset,1,LWIR,1.0,No
1034,150,post-sunset,1,LWIR,0.671,No
1035,200,post-sunset,1,LWIR,0.695,No
1036,250,post-sunset,1,LWIR,0.445,No
1037,300,post-sunset,1,LWIR,0.491,No
1038,350,post-sunset,1,LWIR,0.418,No
1039,400,post-sunset,1,LWIR,0.364,No
1040,50,pre-sunrise,2,LWIR,0.0,No
1041,100,pre-sunrise,2,LWIR,0.605,No
1042,150,pre-sunrise,2,LWIR,0.998,No
1043,200,pre-sunrise,2,LWIR,0.434,No
1044,250,pre-sunrise,2,LWIR,0.0,No
1045,300,pre-sunrise,2,LWIR,0.0,No
1046,350,pre-sunrise,2,LWIR,0.055,No
1047,400,pre-sunrise,2,LWIR,0.0,No
1048,50,post-sunrise,2,LWIR,0.0,No
1049,100,post-sunrise,2,LWIR,0.057,No
1050,150,post-sunrise,2,LWIR,0.338,No
1051,200,post-sunrise,2,LWIR,0.576,No
1052,250,post-sunrise,2,LWIR,0.338,No
1053,300,post-sunrise,2,LWIR,0.0,No
1054,350,post-sunrise,2,LWIR,0.0,No
1055,400,post-sunrise,2,LWIR,0.0,No
1056,50,noon,2,LWIR,0.444,No
1057,100,noon,2,LWIR,0.67,No
1058,150,noon,2,LWIR,0.728,No
1059,200,noon,2,LWIR,0.809,No
1060,250,noon,2,LWIR,0.381,No
1061,300,noon,2,LWIR,0.275,No
1062,350,noon,2,LWIR,0.259,No
1063,400,noon,2,LWIR,0.154,No
1064,50,pre-sunset,2,LWIR,0.871,No
1065,100,pre-sunset,2,LWIR,0.755,No
1066,150,pre-sunset,2,LWIR,0.791,No
1067,200,pre-sunset,2,LWIR,0.719,No
1068,250,pre-sunset,2,LWIR,0.299,No
1069,300,pre-sunset,2,LWIR,0.265,No
1070,350,pre-sunset,2,LWIR,0.325,No
1071,400,pre-sunset,2,LWIR,0.191,No
1072,50,post-sunset,2,LWIR,0.636,No
1073,100,post-sunset,2,LWIR,1.0,No
1074,150,post-sunset,2,LWIR,0.982,No
1075,200,post-sunset,2,LWIR,0.695,No
1076,250,post-sunset,2,LWIR,0.307,No
1077,300,post-sunset,2,LWIR,0.272,No
1078,350,post-sunset,2,LWIR,0.276,No
1079,400,post-sunset,2,LWIR,0.41,No
1080,50,pre-sunrise,3,LWIR,0.672,No
1081,100,pre-sunrise,3,LWIR,0.752,No
1082,150,pre-sunrise,3,LWIR,0.338,No
1083,200,pre-sunrise,3,LWIR,0.431,No
1084,250,pre-sunrise,3,LWIR,0.0,No
1085,300,pre-sunrise,3,LWIR,0.0,No
1086,350,pre-sunrise,3,LWIR,0.039,No
1087,400,pre-sunrise,3,LWIR,0.0,No
1088,50,post-sunrise,3,LWIR,0.0,No
